Entidad;Nit Entidad;Departamento Entidad;Ciudad Entidad;;
FONDO DE VIVIENDA DE INTERES SOCIAL Y REFORMA URBANA DISTRITAL DE CARTAGENA DE INDIAS;800165392;Bolívar;Cartagena;;
POLICÍA METROPOLITANA DE MANIZALES;900805219;Caldas;Manizales;;
CONTRALORÍA MUNICIPAL DE PASTO;800156682;Nariño;Pasto;;
MUNICIPIO DE SANTA ROSA DEL SUR;800049017;Bolívar;Santa Rosa Del Sur;;
ESTABLECIMIENTO PENITENCIARIO DE MEDIANA SEGURIDAD Y CARCELARIO DE CAUCASIA;811010133;Antioquia;Caucasia;;
ALCALDIA LOCAL DE PUENTE ARANDA-FONDO DE DESARROLLO LOCAL;899999061;Distrito Capital de Bogotá;Bogotá;;
ESE HOSPITAL ANDRES GIRARDOT;891855439;Boyacá;No Definido;;
GOBERNACION DEL VALLE - SECRETARIA DE ASUNTOS ETNICOS;890399029;Valle del Cauca;Cali;;
E.S.E HOSPITAL LOCAL DE CANDELARIA VALLE;891380184;No Definido;No Definido;;
AGENCIA NACIONAL DE INFRAESTRUCTURA - ANI;8301259969;Distrito Capital de Bogotá;Bogotá;;
MUNICIPIO DE FLORESTA;800026368;Boyacá;No Definido;;
CENTRAL ADMINISTRATIVA ESPECIALIZADA INGENIEROS;830087443;No Definido;No Definido;;
GOBERNACION DEL GUAVIARE;800103196;No Definido;No Definido;;
MUNICIPIO DE SANTANA;800020733;Atlántico;Barranquilla;;
MINISTERIO DEL TRABAJO DIRECCION TERRITORIAL DEL AMAZONAS;838000330;Amazonas;No Definido;;
DEPARTAMENTO DE POLICIA GUAJIRA;800140974;La Guajira;Riohacha;;
ALCALDIA DE NEIRA;890801135;No Definido;No Definido;;
FONDO DE VIVIENDA DE INTERÉS SOCIAL DEL DEPARTAMENTO DEL HUILA;900094866;Huila;Neiva;;
DIRECCIÓN DE SANIDAD EJÉRCITO;830039670;Distrito Capital de Bogotá;No Definido;;
INSTITUTO GEOGRÁFICO AGUSTÍN CODAZZI;899999004;No Definido;No Definido;;
GOBERNACIÓN DE BOLÍVAR;890480059;Bolívar;Turbaco;;
DISAN AREA DE SANIDAD SAN ANDRES;800141053;San Andrés, Providencia y Santa Catalina;No Definido;;
UNIDAD PRESTADORA DE SALUD META POLICÍA NACIONAL;901361398;Meta;Villavicencio;;
INSTITUTO PARA LA INVESTIGACIÓN Y LA PRESERVACIÓN DEL PATRIMONIO CULTURAL  Y NATURAL DEL VALLE DEL CAUCA;800086201;No Definido;No Definido;;
ALCALDIA MUNICIPIO DE CUITIVA;8918557697;No Definido;No Definido;;
ESTABLECIMIENTO PENITENCIARIO DE MEDIANA SEGURIDAD Y CARCELARIO OCAÑA;807001559;Norte de Santander;Ocaña;;
ESTABLECIMIENTO PENITENCIARIO Y CARCELARIO DE PASTO;814001035;Nariño;No Definido;;
DIRECCION DE ANTINARCOTICOS;800141379;Distrito Capital de Bogotá;Bogotá;;
RESGUARDO INDIGENA KANKUAMO;900874999;No Definido;No Definido;;
ESTABLECIMIENTO PENITENCIARIO Y CARCELARIO SANTANDER DE QUILICHAO;800143359;Cauca;Santander De Quilichao;;
ESTABLECIMIENTO PENITENCIARIO DE MEDIANA SEGURIDAD Y CARCELARIO DE ARAUCA - INPEC;834000421;Arauca;Arauca;;
MUNICIPIO DE ACEVEDO;891180069;No Definido;No Definido;;
